Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000111017.8	ENSMUSG00000050808	ENSMUSG00000050808.13
ENSMUST00000090332.4	ENSMUSG00000050808	ENSMUSG00000050808.13
ENSMUST00000076106.3	ENSMUSG00000059648	ENSMUSG00000059648.3
ENSMUST00000126128.7	ENSMUSG00000020409	ENSMUSG00000020409.10
ENSMUST00000151880.7	ENSMUSG00000020409	ENSMUSG00000020409.10
ENSMUST00000020681.9	ENSMUSG00000020409	ENSMUSG00000020409.10
ENSMUST00000178622.2	ENSMUSG00000020409	ENSMUSG00000020409.10
ENSMUST00000099356.9	ENSMUSG00000074794	ENSMUSG00000074794.10
ENSMUST00000161441.1	ENSMUSG00000074794	ENSMUSG00000074794.10
ENSMUST00000013949.14	ENSMUSG00000032000	ENSMUSG00000032000.17
ENSMUST00000115672.1	ENSMUSG00000032000	ENSMUSG00000032000.17
ENSMUST00000159323.1	ENSMUSG00000032000	ENSMUSG00000032000.17
ENSMUST00000115673.2	ENSMUSG00000032000	ENSMUSG00000032000.17
ENSMUST00000110160.8	ENSMUSG00000036151	ENSMUSG00000036151.15
ENSMUST00000049197.5	ENSMUSG00000036151	ENSMUSG00000036151.15
ENSMUST00000079414.11	ENSMUSG00000023072	ENSMUSG00000023072.14
ENSMUST00000150421.1	ENSMUSG00000023072	ENSMUSG00000023072.14
ENSMUST00000003720.4	ENSMUSG00000003623	ENSMUSG00000003623.4
ENSMUST00000173353.7	ENSMUSG00000073402	ENSMUSG00000073402.11
ENSMUST00000040467.14	ENSMUSG00000073402	ENSMUSG00000073402.11
ENSMUST00000097335.3	ENSMUSG00000073402	ENSMUSG00000073402.11
ENSMUST00000045376.10	ENSMUSG00000039197	ENSMUSG00000039197.10
ENSMUST00000223915.1	ENSMUSG00000039197	ENSMUSG00000039197.10
ENSMUST00000224899.1	ENSMUSG00000039197	ENSMUSG00000039197.10
ENSMUST00000224069.1	ENSMUSG00000039197	ENSMUSG00000039197.10
ENSMUST00000223645.1	ENSMUSG00000039197	ENSMUSG00000039197.10
ENSMUST00000055758.15	ENSMUSG00000044308	ENSMUSG00000044308.17
ENSMUST00000131553.1	ENSMUSG00000044308	ENSMUSG00000044308.17
ENSMUST00000152610.1	ENSMUSG00000044308	ENSMUSG00000044308.17
ENSMUST00000112251.8	ENSMUSG00000044308	ENSMUSG00000044308.17
ENSMUST00000115336.9	ENSMUSG00000039632	ENSMUSG00000039632.13
ENSMUST00000044926.5	ENSMUSG00000039632	ENSMUSG00000039632.13
ENSMUST00000080167.10	ENSMUSG00000061815	ENSMUSG00000061815.11
ENSMUST00000127134.1	ENSMUSG00000061815	ENSMUSG00000061815.11
ENSMUST00000027730.5	ENSMUSG00000026459	ENSMUSG00000026459.5
ENSMUST00000043709.7	ENSMUSG00000034792	ENSMUSG00000034792.8
ENSMUST00000115494.2	ENSMUSG00000079681	ENSMUSG00000079681.3
ENSMUST00000017288.8	ENSMUSG00000017144	ENSMUSG00000017144.8
ENSMUST00000154545.1	ENSMUSG00000017144	ENSMUSG00000017144.8
ENSMUST00000227764.1	ENSMUSG00000068407	ENSMUSG00000068407.3
ENSMUST00000089798.2	ENSMUSG00000068407	ENSMUSG00000068407.3
ENSMUST00000102910.3	ENSMUSG00000000381	ENSMUSG00000000381.10
ENSMUST00000034303.2	ENSMUSG00000031843	ENSMUSG00000031843.2
ENSMUST00000119694.2	ENSMUSG00000083282	ENSMUSG00000083282.3
ENSMUST00000237504.1	ENSMUSG00000083282	ENSMUSG00000083282.3
ENSMUST00000237011.1	ENSMUSG00000083282	ENSMUSG00000083282.3
ENSMUST00000216202.1	ENSMUSG00000035932	ENSMUSG00000035932.6
ENSMUST00000048478.5	ENSMUSG00000035932	ENSMUSG00000035932.6
ENSMUST00000001963.13	ENSMUSG00000020681	ENSMUSG00000020681.14
ENSMUST00000132280.7	ENSMUSG00000020681	ENSMUSG00000020681.14
ENSMUST00000001964.7	ENSMUSG00000020681	ENSMUSG00000020681.14
ENSMUST00000064475.3	ENSMUSG00000052554	ENSMUSG00000052554.3
ENSMUST00000085679.12	ENSMUSG00000029622	ENSMUSG00000029622.16
ENSMUST00000196111.4	ENSMUSG00000029622	ENSMUSG00000029622.16
ENSMUST00000141602.1	ENSMUSG00000029622	ENSMUSG00000029622.16
ENSMUST00000136074.1	ENSMUSG00000029622	ENSMUSG00000029622.16
ENSMUST00000138922.1	ENSMUSG00000029622	ENSMUSG00000029622.16
ENSMUST00000103171.9	ENSMUSG00000037279	ENSMUSG00000037279.13
ENSMUST00000037423.3	ENSMUSG00000037279	ENSMUSG00000037279.13
ENSMUST00000027505.12	ENSMUSG00000026283	ENSMUSG00000026283.13
ENSMUST00000190476.1	ENSMUSG00000026283	ENSMUSG00000026283.13
ENSMUST00000084882.8	ENSMUSG00000006356	ENSMUSG00000006356.10
ENSMUST00000200380.4	ENSMUSG00000006356	ENSMUSG00000006356.10
ENSMUST00000196015.4	ENSMUSG00000006356	ENSMUSG00000006356.10
ENSMUST00000007738.10	ENSMUSG00000007594	ENSMUSG00000007594.10
ENSMUST00000173455.7	ENSMUSG00000074366	ENSMUSG00000074366.9
ENSMUST00000098802.9	ENSMUSG00000074366	ENSMUSG00000074366.9
ENSMUST00000173053.1	ENSMUSG00000074366	ENSMUSG00000074366.9
ENSMUST00000096148.10	ENSMUSG00000094706	ENSMUSG00000094706.7
ENSMUST00000178623.1	ENSMUSG00000094706	ENSMUSG00000094706.7
ENSMUST00000212226.1	ENSMUSG00000110641	ENSMUSG00000110641.1
ENSMUST00000156488.7	ENSMUSG00000037926	ENSMUSG00000037926.15
ENSMUST00000037912.11	ENSMUSG00000037926	ENSMUSG00000037926.15
ENSMUST00000181283.2	ENSMUSG00000037926	ENSMUSG00000037926.15
ENSMUST00000020679.2	ENSMUSG00000020411	ENSMUSG00000020411.2
ENSMUST00000002297.11	ENSMUSG00000002227	ENSMUSG00000002227.15
ENSMUST00000106775.7	ENSMUSG00000002227	ENSMUSG00000002227.15
ENSMUST00000168015.7	ENSMUSG00000002227	ENSMUSG00000002227.15
ENSMUST00000166979.7	ENSMUSG00000002227	ENSMUSG00000002227.15
ENSMUST00000058955.4	ENSMUSG00000079842	ENSMUSG00000079842.1
ENSMUST00000177659.1	ENSMUSG00000095029	ENSMUSG00000095029.1
ENSMUST00000110767.1	ENSMUSG00000059463	ENSMUSG00000059463.7
ENSMUST00000039075.7	ENSMUSG00000059463	ENSMUSG00000059463.7
ENSMUST00000032955.6	ENSMUSG00000030713	ENSMUSG00000030713.6
ENSMUST00000027649.13	ENSMUSG00000026398	ENSMUSG00000026398.14
ENSMUST00000168126.6	ENSMUSG00000026398	ENSMUSG00000026398.14
ENSMUST00000192357.5	ENSMUSG00000026398	ENSMUSG00000026398.14
ENSMUST00000192929.5	ENSMUSG00000026398	ENSMUSG00000026398.14
ENSMUST00000195428.1	ENSMUSG00000026398	ENSMUSG00000026398.14
ENSMUST00000032322.14	ENSMUSG00000030201	ENSMUSG00000030201.15
ENSMUST00000126836.3	ENSMUSG00000030201	ENSMUSG00000030201.15
ENSMUST00000071069.12	ENSMUSG00000057596	ENSMUSG00000057596.13
ENSMUST00000033211.13	ENSMUSG00000057596	ENSMUSG00000057596.13
ENSMUST00000141063.1	ENSMUSG00000057596	ENSMUSG00000057596.13
ENSMUST00000053705.7	ENSMUSG00000047379	ENSMUSG00000047379.7
ENSMUST00000235776.1	ENSMUSG00000047379	ENSMUSG00000047379.7
ENSMUST00000115777.9	ENSMUSG00000022674	ENSMUSG00000022674.15
ENSMUST00000115776.1	ENSMUSG00000022674	ENSMUSG00000022674.15
ENSMUST00000118236.7	ENSMUSG00000022674	ENSMUSG00000022674.15
ENSMUST00000096234.3	ENSMUSG00000022674	ENSMUSG00000022674.15
ENSMUST00000119581.6	ENSMUSG00000032625	ENSMUSG00000032625.14
ENSMUST00000172356.7	ENSMUSG00000032625	ENSMUSG00000032625.14
ENSMUST00000109366.7	ENSMUSG00000020271	ENSMUSG00000020271.17
ENSMUST00000093205.12	ENSMUSG00000020271	ENSMUSG00000020271.17
ENSMUST00000076383.7	ENSMUSG00000020271	ENSMUSG00000020271.17
ENSMUST00000025409.8	ENSMUSG00000024529	ENSMUSG00000024529.14
ENSMUST00000171470.7	ENSMUSG00000024529	ENSMUSG00000024529.14
ENSMUST00000004686.12	ENSMUSG00000069633	ENSMUSG00000069633.12
ENSMUST00000111081.9	ENSMUSG00000069633	ENSMUSG00000069633.12
ENSMUST00000116567.3	ENSMUSG00000080268	ENSMUSG00000080268.4
ENSMUST00000235918.1	ENSMUSG00000080268	ENSMUSG00000080268.4
ENSMUST00000032192.8	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000203615.2	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000203936.1	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000203262.2	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000203638.2	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000203687.1	ENSMUSG00000030102	ENSMUSG00000030102.11
ENSMUST00000052566.7	ENSMUSG00000051232	ENSMUSG00000051232.13
ENSMUST00000002412.8	ENSMUSG00000002341	ENSMUSG00000002341.8
ENSMUST00000097788.10	ENSMUSG00000029009	ENSMUSG00000029009.17
ENSMUST00000141283.7	ENSMUSG00000029009	ENSMUSG00000029009.17
ENSMUST00000069604.14	ENSMUSG00000029009	ENSMUSG00000029009.17
ENSMUST00000036407.5	ENSMUSG00000033478	ENSMUSG00000033478.5
ENSMUST00000044053.12	ENSMUSG00000090112	ENSMUSG00000090112.8
ENSMUST00000054814.13	ENSMUSG00000090112	ENSMUSG00000090112.8
ENSMUST00000159541.7	ENSMUSG00000090112	ENSMUSG00000090112.8
ENSMUST00000239056.1	ENSMUSG00000021448	ENSMUSG00000021448.8
ENSMUST00000223543.2	ENSMUSG00000021448	ENSMUSG00000021448.8
ENSMUST00000021898.5	ENSMUSG00000021448	ENSMUSG00000021448.8
ENSMUST00000030814.10	ENSMUSG00000028969	ENSMUSG00000028969.10
ENSMUST00000198990.1	ENSMUSG00000028969	ENSMUSG00000028969.10
ENSMUST00000045692.8	ENSMUSG00000025738	ENSMUSG00000025738.8
ENSMUST00000236165.1	ENSMUSG00000025738	ENSMUSG00000025738.8
ENSMUST00000235694.1	ENSMUSG00000025738	ENSMUSG00000025738.8
ENSMUST00000180151.2	ENSMUSG00000096621	ENSMUSG00000096621.2
ENSMUST00000140770.1	ENSMUSG00000066438	ENSMUSG00000066438.6
